	target_1	target_2	interface	energy	time
0	1k05B	5vvcD	2z3rGK	-12.999	2023-08-05 08:08:34
1	1k05B	5vvcD	3ezqAC	-11.74	2023-08-05 08:08:34
2	2h60A	7x5eB	3l0lAB	-8.678	2023-08-05 08:08:34
3	2h60A	7x5fF	3l0lAB	-6.398	2023-08-05 08:08:34
4	2lz1A	7vrbA	3tlxAC	-10.374	2023-08-05 08:08:34
5	3co6C	6xnkA	3omeAF	-13.881	2023-08-05 08:08:34
6	5ea1B	7x5eB	1dg1GH	-8.401	2023-08-05 08:08:34
7	5ea1B	7x5eB	3mkyBP	-7.576	2023-08-05 08:08:34
8	5ea1B	7x5fF	1xkmAC	-9.463	2023-08-05 08:08:34
9	5ea1B	7x5fF	2ejqAB	-6.836	2023-08-05 08:08:34
10	5ea1B	7x5fF	2qgxCD	-13.14	2023-08-05 08:08:34
11	5vvcD	1k05B	2oxlAB	-8.516	2023-08-05 08:08:34
12	5vvcD	1k05B	2xvtBD	-16.503	2023-08-05 08:08:34
13	5vvcD	2z6hA	3fu1AB	-10.778	2023-08-05 08:08:34
14	5vvcD	6yq1B	3ia3BC	-9.784	2023-08-05 08:08:34
15	5vvcD	7w7zA	3ezqAC	-6.584	2023-08-05 08:08:34
16	6lesY	5vvcD	1gy7BD	-8.552	2023-08-05 08:08:34
17	6ltjI	2lz1A	1zaxAZ	-10.776	2023-08-05 08:08:34
18	6ltjI	7o7bA	2ijhBC	-6.703	2023-08-05 08:08:34
19	6ltjI	7o7bA	2zdiBC	-7.38	2023-08-05 08:08:34
20	6ltjI	7x5eB	1g2yAC	-13.023	2023-08-05 08:08:34
21	6ltjI	7x5eB	1tlbSU	-6.835	2023-08-05 08:08:34
22	6ltjI	7x5eB	2eqbBC	-16.555	2023-08-05 08:08:34
23	6ltjI	7x5eB	2f66DF	-10.202	2023-08-05 08:08:34
24	6ltjI	7x5eB	2g18AJ	-13.617	2023-08-05 08:08:34
25	6ltjI	7x5eB	2o1jAB	-7.334	2023-08-05 08:08:34
26	6ltjI	7x5eB	3l0lAB	-19.164	2023-08-05 08:08:34
27	6ltjI	7x5eB	3mkyBP	-14.043	2023-08-05 08:08:34
28	6ltjI	7x5eB	3onxAB	-10.489	2023-08-05 08:08:34
29	6ltjI	7x5eB	3p8cDF	-14.496	2023-08-05 08:08:34
